Description,Price Was,Price,Percent Off,Rating,Review Count,URL
"[5 in 1] UniqueMe Designed for iPhone 14 Case with 2 Pack Tempered Glass Screen Protector + 2 Pack Camera Lens Protector, [Military Grade Protection] Slim Thin- Clear",$19.99,$18.99,-5.0%,4.6 out of 5 stars,4.6,https://www.amazon.ca/UniqueMe-iPhone-14-Protector-Protection/dp/B0B774D9QQ/ref=sr_1_52?keywords=iPhone+14&qid=1677007651&sr=8-52
"Telaso iPhone 14 Pro Max Case, 360° Rotation Kickstand Ring Holder Plating Edge Soft Rubber TPU Bumper Slim Flexible Shockproof Protective Phone Case Cover for iPhone 14 Pro Max, Deep Purple",,$13.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Telaso-Rotation-Kickstand-Shockproof-Protective/dp/B0BL138SL2/ref=sr_1_53?keywords=iPhone+14&qid=1677007654&sr=8-53
"DUEDUE Magnetic Case for iPhone 14 Pro Max Compatible with MagSafe, Flower Bouquet Pattern iPhone 14 Pro Max Case Slim Hard Cover Shockproof Phone Cases for iPhone 14 Pro Max 6.7 Inch, Clear",,$14.99,0%,No reviews,0,https://www.amazon.ca/DUEDUE-Magnetic-Compatible-MagSafe-Shockproof/dp/B0BTHJRD2Q/ref=sr_1_54?keywords=iPhone+14&qid=1677007654&sr=8-54
"TUCCH Case for iPhone 14 Wallet Case 5G, [RFID Blocking] 4 Card Holder Stand [Shockproof TPU Interior Case] PU Leather Magnetic Protective Flip Cover Compatible with iPhone 14 6.1"" 2022, Black",$33.99,$26.99,-20.59%,4.7 out of 5 stars,4.7,https://www.amazon.ca/TUCCH-Blocking-Shockproof-Protective-Compatible/dp/B0B7BF4LXR/ref=sr_1_55?keywords=iPhone+14&qid=1677007654&sr=8-55
"ORNARTO Compatible with iPhone 14 Pro Case 6.1, Slim Liquid Silicone 3 Layers Full Covered Soft Gel Rubber Case Protective Cover 6.1 inch-Blue",$25.99,$16.99,-34.63%,4.6 out of 5 stars,4.6,https://www.amazon.ca/ORNARTO-Compatible-iPhone-14-Pro/dp/B0B9735C8J/ref=sr_1_56?keywords=iPhone+14&qid=1677007654&sr=8-56
"[3+3 Pack] iVoler Tempered Glass for iPhone 14 6.1 inch [3 Pack] with [3 Pack] Camera Lens Screen Protector with [Alignment Frame], Anti-Scratch Case Friendly Transparent HD Clear Film",,$12.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Tempered-Protector-Alignment-Anti-Scratch-Transparent/dp/B09X2Y999T/ref=sr_1_57?keywords=iPhone+14&qid=1677007654&sr=8-57
"LK [3-in-1] for iPhone 14 Plus Case with 2 Pack Screen Protectors + Camera Lens Protector, Phone Case Compatible with Magnetic, Shockproof Liquid Silicone Case, [Anti-Scratch], Black",,$13.99,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/LK-14-Plus-Protectors-Anti-Scratch/dp/B0B61WXXTH/ref=sr_1_58?keywords=iPhone+14&qid=1677007654&sr=8-58
OtterBox OTTER + POP SYMMETRY SERIES for iPhone 14 Pro Max - BLACK,,$74.98,0%,5.0 out of 5 stars,5.0,https://www.amazon.ca/OtterBox-OTTER-POP-SYMMETRY-iPhone/dp/B0B7QSDF4K/ref=sr_1_59?keywords=iPhone+14&qid=1677007654&sr=8-59
"VAKAY iPhone Case iPhone 14 Compatible iPhone 13 antichoc, Hybride: Solide et Silicone Double Protection Tough - Bella Portrait Design Nude Bleu Pastel Rose Elegant",,$23.99,0%,No reviews,0,https://www.amazon.ca/VAKAY-iPhone-Compatible-antichoc-Hybride/dp/B0BQKQXM42/ref=sr_1_60?keywords=iPhone+14&qid=1677007654&sr=8-60
"GUAGUA Case for iPhone 14, iPhone 14 Phone Cases Cute Heart Pattern with Wrist Strap Camera Protection Soft Silicone Cover for Women Girls Shockproof Protection Case for iPhone 14 6.1"" Black",,$13.49,0%,No reviews,0,https://www.amazon.ca/GUAGUA-Pattern-Protection-Silicone-Shockproof/dp/B0BTD4SY1R/ref=sr_1_61?keywords=iPhone+14&qid=1677007654&sr=8-61
